student_id,grado,afinidad_matematica,afinidad_lectura,afinidad_ciencias,habilidad_matematica,habilidad_lectura,habilidad_ciencias
STU_000000,Secundaria alta,0.17775682534328138,0.2557140204153348,0.5665291542413838,0.11747659575739233,0.4369601473502124,0.7456404528245644
STU_000001,Primaria alta,0.24442843247027787,0.4817745446140098,0.27379702291571223,0.16571114861837433,0.9086796813635858,0.37962121930983594
STU_000002,Primaria alta,0.3694770952454001,0.10650166543884039,0.5240212393157596,0.7078140963918861,0.6453562817239122,0.7702282208663037
STU_000003,Secundaria alta,0.11682860601411753,0.6984411214293292,0.18473027255655328,0.7359861038347832,0.6122643977442965,0.7047211440614055
STU_000004,Secundaria alta,0.502720328024139,0.09718843970329445,0.4000912322725666,0.6104543614640249,0.35248567017928495,0.27478878036762655
STU_000005,Secundaria alta,0.15099396253414238,0.6544228849252638,0.19458315254059408,0.7541284080826235,0.9259933713376982,0.6193753920377794
STU_000006,Secundaria alta,0.18501848070501317,0.3321337851219448,0.4828477341730419,0.4760694660315322,0.9473786825631372,0.8519447916885589
STU_000007,Secundaria baja,0.47453996390062225,0.06570818489689853,0.4597518512024793,0.5380383598914452,0.5096403947576054,0.5186778664882291
STU_000008,Primaria alta,0.16261879639323462,0.3506602458123748,0.4867209577943907,0.3603495212160114,0.4614215766067007,0.4551857631286254
STU_000009,Secundaria alta,0.20762731119949165,0.1790612485172008,0.6133114402833076,0.06944318808858504,0.5281948594108237,0.8592261592641842
STU_000010,Primaria alta,0.13994167589409412,0.4158716197659216,0.4441867043399845,0.9122520149240496,0.6518111272336514,0.4011269596325501
STU_000011,Secundaria baja,0.6979797286114583,0.16184080972857645,0.14017946165996528,0.3811886603732712,0.7912130129373413,0.35244333772925107
STU_000012,Secundaria baja,0.3268696909113645,0.6273937062041137,0.045736602884521825,0.5159325676671909,0.5068872423232865,0.3708555833730086
STU_000013,Primaria alta,0.5175460917537053,0.071098335123751,0.41135557312254384,0.3113187409196967,0.5284551001869607,0.419255718007783
STU_000014,Secundaria baja,0.34218486857604385,0.5214157920217415,0.1363993394022146,0.6788997705539946,0.8934303754699683,0.6956377783903468
STU_000015,Primaria alta,0.5356760785227132,0.19857737166668513,0.26574654981060164,0.2507582430490406,0.5211716314990854,0.8222509336701486
STU_000016,Secundaria baja,0.519390073518228,0.36682924730290833,0.1137806791788638,0.583426242679539,0.6464751151716898,0.759687048765138
STU_000017,Secundaria baja,0.04268870178081653,0.7312219217315531,0.22608937648763028,0.6583675836221778,0.3321004565328567,0.6291207840901504
STU_000018,Secundaria alta,0.4503347087906765,0.21480153486602394,0.33486375634329946,0.7186944460751804,0.4077131213252569,0.34492791267287015
STU_000019,Secundaria alta,0.025261098914348797,0.7670818262508008,0.20765707483485046,0.8105799200780788,0.8412388719008376,0.4270928881881667
STU_000020,Secundaria alta,0.22309870065229004,0.26808657376561923,0.5088147255820906,0.7642550191894404,0.46161543006297084,0.2977695559380833
STU_000021,Primaria alta,0.3143636813351493,0.16164950856120633,0.5239868101036443,0.6925570085972127,0.9719088562897593,0.7749663112594557
STU_000022,Secundaria baja,0.05314082918794374,0.014374427954197086,0.9324847428578592,0.8122099033656762,0.6440308043640685,0.6241905654114319
STU_000023,Secundaria alta,0.3660272309511097,0.10522979329702482,0.5287429757518655,0.789683230874979,0.33709253498894826,0.6234219579482134
STU_000024,Secundaria baja,0.1883512790590069,0.2611442161288739,0.5505045048121192,0.5598675762715223,0.4639833647120038,0.4565321136230802
STU_000025,Secundaria alta,0.3317042339836339,0.2598488554384691,0.408446910577897,0.6009438835586184,0.5456838706767259,0.11222036539596847
STU_000026,Secundaria baja,0.15483716196998523,0.6481799074893839,0.19698293054063068,0.3926051777605805,0.13069168811040185,0.2626009840055712
STU_000027,Secundaria baja,0.3919369286166756,0.26984891429052493,0.3382141570927994,0.3829177987784839,0.918767169417929,0.48479482376319394
STU_000028,Secundaria alta,0.5836143449367645,0.08661183613505077,0.3297738189281848,0.5342129181902868,0.28759030353799664,0.7543084240115033
STU_000029,Secundaria alta,0.5701755422587689,0.3407806957080753,0.08904376203315574,0.38857136395244096,0.568237568318337,0.6913685180286164
STU_000030,Secundaria baja,0.15772816157437564,0.04695394615643893,0.7953178922691854,0.822817452136326,0.8125808801261171,0.7689362260548208
STU_000031,Secundaria alta,0.08409963355444434,0.821638114458607,0.09426225198694876,0.7984793348068274,0.6250625345246712,0.40575083118794575
STU_000032,Secundaria alta,0.5379527345429026,0.28354946965177286,0.1784977958053246,0.43862910643370595,0.25702074496441635,0.5384934928567959
STU_000033,Primaria alta,0.43740092217743304,0.392219348014014,0.1703797298085529,0.701835908816334,0.35128369261676834,0.2998611111478055
STU_000034,Primaria alta,0.06368956740400161,0.8139862950752669,0.12232413752073144,0.9477856586262429,1.0,0.24551667036975122
STU_000035,Primaria alta,0.7479201907235881,0.012346624339845874,0.2397331849365662,0.7255116942831231,0.7540088105438392,0.39349238732459235
STU_000036,Secundaria alta,0.20620910992920524,0.18335164226708486,0.6104392478037098,0.21156855408010836,0.5275684144540415,0.6198494242295395
STU_000037,Primaria alta,0.11015606787624901,0.6570797139617787,0.23276421816197237,0.5415021796721274,0.3854560909581026,0.627499327592022
STU_000038,Secundaria baja,0.396725553603027,0.30263578531633933,0.3006386610806336,0.925766230267639,0.3360048479069977,0.40130080371230753
STU_000039,Secundaria alta,0.6452588087843556,0.21079086682290066,0.1439503243927438,0.583640022625585,0.5877673938673381,0.3598808660883391
STU_000040,Secundaria alta,0.3261096363471685,0.22267943275604415,0.4512109308967874,0.4998138187652231,0.31734002737112665,0.3066357717014062
STU_000041,Primaria alta,0.8061612579571147,0.10110722061439519,0.09273152142849016,0.6460953864426795,0.40058055284560473,0.5827475712610778
STU_000042,Primaria alta,0.7354188270591878,0.20638080213287271,0.058200370807939474,0.36230864097434656,0.9765714459986298,0.5441388526087304
STU_000043,Secundaria alta,0.44414156749790795,0.4070047879483694,0.14885364455372274,0.7429501380914767,0.8501177762254045,0.24671260906978346
STU_000044,Secundaria baja,0.06510199053953807,0.9087210040793458,0.026177005381116197,0.7169787186287274,0.8128447012037345,0.46744111451021503
STU_000045,Secundaria baja,0.4373324994878902,0.22407362439251383,0.33859387611959607,0.7488381602693032,0.7032589109483989,0.2548373217084805
STU_000046,Secundaria alta,0.3971936733184754,0.3620024341493182,0.2408038925322064,0.6732963332813906,0.33508938650872877,0.5541376572895802
STU_000047,Secundaria alta,0.7283879182003894,0.08896800039787511,0.18264408140173533,0.8027857150727304,0.28401791957301703,0.4844470049782355
STU_000048,Primaria alta,0.06545220203929088,0.8797228124920407,0.054824985468668416,0.40186641292261277,0.7086493443400471,0.5440751201427868
STU_000049,Secundaria baja,0.40753838023127403,0.4731016837042425,0.11935993606448335,0.5889961277240826,0.7963304793103069,0.4788262984537326
STU_000050,Secundaria baja,0.31162293458632917,0.605031600427771,0.08334546498589991,0.49980607224662355,0.8871579630370786,0.7920543697241604
STU_000051,Secundaria alta,0.3366473920723212,0.3831048140822321,0.2802477938454469,0.5648693121494068,0.7492641737801525,0.8177496739351823
STU_000052,Secundaria alta,0.5496069832306643,0.1524187979816376,0.2979742187876981,0.7325064456854247,0.0801803492363004,0.1245635745495164
STU_000053,Primaria alta,0.4460485394829263,0.3690430375556835,0.18490842296139007,0.7676918512994276,0.10817644689371797,0.2758883080268285
STU_000054,Secundaria baja,0.1987921229437967,0.22113202339473248,0.5800758536614709,0.5279257654926232,0.11819670774115215,0.7642652061284629
STU_000055,Secundaria alta,0.21108025928513627,0.20888805590215068,0.580031684812713,0.7008736511319333,0.15853547750675723,0.2519601482058805
STU_000056,Secundaria baja,0.11614597709381928,0.2973693580621233,0.5864846648440575,0.5926493274337428,0.45212447602155814,0.5796129039983831
STU_000057,Secundaria baja,0.30383588340570516,0.4760546766106118,0.2201094399836829,0.882432064229744,0.08159612548168028,0.18130401089150422
STU_000058,Secundaria baja,0.41036142039171203,0.15375498352728453,0.4358835960810034,0.6546188819357477,0.649192335892617,0.781870553540573
STU_000059,Secundaria baja,0.3964272756682391,0.17669526341671146,0.4268774609150494,0.37462023696946467,0.601210205207678,0.3864951288632715
STU_000060,Primaria alta,0.4977356395075806,0.3241389068382178,0.17812545365420157,0.5079493108170735,0.49366620494938285,0.17135104411935934
STU_000061,Secundaria alta,0.036878044544157565,0.9217795717079287,0.04134238374791368,0.19203662295803328,0.5178580810785353,0.4711263811679146
STU_000062,Secundaria baja,0.44273342145163697,0.06400991216844451,0.4932566663799186,0.7575657314099942,0.7946883891710436,0.6732672312049024
STU_000063,Secundaria alta,0.4034798612652441,0.5132220967114249,0.083298042023331,0.49206112113493145,1.0,0.6404963129275663
STU_000064,Secundaria baja,0.10649974054505712,0.7727082343499425,0.12079202510500045,0.49734475734840305,0.9106133067794395,0.367974898151067
STU_000065,Secundaria baja,0.04767618338147567,0.2014724134873708,0.7508514031311534,0.4441366465868626,0.4306047679783112,0.6634011027739508
